slug,name,playtime,released,tba,rating,rating_top,ratings_count,reviews_text_count,added,suggestions_count,updated,game_id,reviews_count,genres
death-stranding-2,Death Stranding 2: On The Beach,0,2025-06-26,False,4.33,5,49,2,564,378,2025-10-05T23:52:42,891532,52,"['Adventure', 'Action']"
the-alters,The Alters,7,2025-06-13,False,4.38,5,48,5,339,269,2025-10-05T15:02:35,801122,56,['Adventure']
the-wandering-village,The Wandering Village,2,2025-07-17,False,3.82,4,20,1,263,334,2025-08-05T00:12:32,616671,22,"['Strategy', 'Simulation']"
wuchang-fallen-feathers,Wuchang: Fallen Feathers,22,2025-07-23,False,3.65,4,21,1,145,58,2025-09-26T20:04:47,879565,23,"['Adventure', 'Action', 'RPG']"
abiotic-factor,Abiotic Factor,15,2025-07-22,False,4.07,4,13,1,123,250,2025-08-31T16:27:58,881527,15,"['Shooter', 'Adventure', 'Action', 'RPG', 'Simulation']"
dune-awakening,Dune: Awakening,17,2025-06-10,False,3.44,4,7,1,117,462,2025-09-20T16:47:28,840775,9,"['Massively Multiplayer', 'Adventure', 'Action', 'RPG']"
lies-of-p-overture,Lies of P: Overture,0,2025-06-07,False,4.53,5,15,1,103,65,2025-09-09T08:01:44,997552,17,"['Action', 'RPG']"
titan-quest-2,Titan Quest 2,0,2025-08-01,False,0.0,0,3,0,77,207,2025-08-24T15:17:43,469645,3,"['Action', 'RPG']"
donkey-kong-bananza,Donkey Kong Bananza,0,2025-07-17,False,4.17,4,12,0,74,59,2025-09-28T15:12:12,1000582,12,['Adventure']
eriksholm-the-stolen-dream,Eriksholm: The Stolen Dream,13,2025-07-14,False,0.0,5,5,0,72,56,2025-10-04T05:03:55,983208,5,"['Strategy', 'Adventure', 'Action']"
mindseye,MindsEye,0,2025-06-10,False,1.6,1,15,0,69,338,2025-09-02T18:18:02,997553,15,"['Shooter', 'Adventure', 'Action']"
the-drifter,The Drifter,0,2025-07-17,False,4.22,5,9,0,57,245,2025-09-24T20:23:19,385420,9,"['Indie', 'Adventure']"
rematch-2025,REMATCH (2025),0,2025-06-19,False,2.54,1,12,0,49,55,2025-10-01T23:04:13,998669,13,"['Indie', 'Sports']"
ninja-gaiden-ragebound,Ninja Gaiden: Ragebound,0,2025-07-31,False,3.73,4,11,0,45,54,2025-09-07T19:14:05,1004299,11,"['Indie', 'Platformer', 'Adventure', 'Action']"
guntouchables,GUNTOUCHABLES,0,2025-08-07,False,0.0,0,2,0,42,194,2025-09-27T15:49:56,1008348,2,"['Indie', 'Action']"
